client_name,project_id,survey_date,survey_type,score,nps_category,feedback_text,sentiment,key_themes,follow_up_required,follow_up_owner,follow_up_status,account_manager
Client E,PROJ-025,2026-05-19,NPS,4.7,Promoter,Industry class current painting their appear lose he various represent middle by base civil last message store begin treat stage this us increase how hear.,Positive,"['Communication', 'Quality']",True,Brad Walker,Closed,Brett Espinoza
Client H,PROJ-032,2026-03-01,NPS,1.4,Detractor,Social case expert stop receive catch relationship large accept bad eight strong nature road month book explain feeling answer information.,Positive,"['Delivery', 'Support']",True,Joyce Rodriguez,Closed,Linda Smith
Client E,PROJ-032,2026-05-14,QBR,4.7,Promoter,Offer responsibility fact ability good number cost property model guess well name skill medical after them analysis hit health section ground attack drop price billion.,Negative,"['Support', 'Quality']",True,Nicole Anderson,Closed,George Day
Client F,PROJ-026,2026-03-16,CSAT,4.5,Promoter,Wonder long consider care respond want already cut social though firm financial huge spring list already positive experience television answer pretty event son.,Neutral,"['Delivery', 'Communication']",True,James Gonzales,In Progress,Gina Lopez
Client E,PROJ-008,2026-01-14,CSAT,3.6,Passive,Happen something entire bar interesting issue yet Congress family bill foreign fast knowledge response coach know language risk treatment past itself police social arm.,Neutral,"['Quality', 'Pricing']",True,Jennifer Palmer,Closed,Caitlin Johnson
Client I,PROJ-003,2025-12-24,CSAT,4.2,Passive,Question just call door population gun we allow check last he know baby case happen fire everything whether ago control military trial brother simple region Democrat partner.,Positive,"['Quality', 'Support']",True,Yvonne Gonzalez,Closed,Benjamin Thompson
Client J,PROJ-021,2026-01-23,NPS,4.7,Promoter,Young specific whose worry property remember nearly face feel church remember record company gun difference world society door management guess occur level work.,Negative,"['Quality', 'Pricing']",True,Stephen Jones,Closed,Mitchell Mendoza
Client A,PROJ-024,2026-03-07,QBR,4.9,Promoter,Shoulder statement available win politics last quite general there sister policy consider whom item treat area buy check clearly follow remember generation.,Positive,"['Support', 'Quality']",True,Stephanie Singleton,Closed,Mark Pierce
Client J,PROJ-015,2025-12-26,QBR,4.9,Promoter,Person pass behavior political option oil commercial person top front under American tell ball we.,Neutral,"['Communication', 'Support']",True,Deborah Clark,Open,Lisa Johnson
Client D,PROJ-002,2026-04-04,NPS,3.7,Passive,Nation politics few each southern image law read citizen indeed less future century technology floor write generation human set middle blood drop business last cell anything war ten.,Neutral,"['Communication', 'Support']",True,Victor Barrera,Closed,Taylor Griffith
Client A,PROJ-009,2026-04-24,CSAT,4.6,Promoter,Several marriage method material final age war measure whom Democrat good anything manager think pressure like.,Negative,"['Quality', 'Support']",True,Sarah Jordan,Closed,Monica Gallagher
Client I,PROJ-023,2026-06-04,QBR,4.4,Passive,And anything no guy eye hit late near stay perhaps particularly campaign benefit health would newspaper hand certain own husband American.,Negative,"['Quality', 'Support']",True,Micheal Brock,Open,Brittany Barry
Client E,PROJ-019,2026-06-11,CSAT,1.7,Detractor,Foreign party class wrong school federal from stock mother remember feel staff happy purpose woman.,Negative,"['Support', 'Quality']",True,Rebecca Swanson,In Progress,Alyssa Wells
Client B,PROJ-035,2026-03-20,NPS,4.7,Promoter,Officer return on color pick people subject challenge quite all way body affect finish charge real improve simple turn their save artist catch debate foot production.,Neutral,"['Communication', 'Quality']",True,Emily Thompson,Open,Gloria Gomez
Client E,PROJ-031,2026-02-05,CSAT,4.6,Promoter,Particular court east newspaper different win father eye debate relate first give value somebody event business quality here.,Negative,"['Quality', 'Pricing']",True,Sabrina Blevins,Open,Donna Roberts
Client I,PROJ-015,2026-05-25,CSAT,4.6,Promoter,Get kind either look dark Mrs usually receive case past only drug prove most.,Positive,"['Delivery', 'Support']",True,Amy Gutierrez,In Progress,Ashlee Townsend
Client I,PROJ-011,2026-03-27,QBR,4.9,Promoter,Who within citizen present thing little practice sense expert experience arrive shoulder.,Neutral,"['Support', 'Communication']",True,Crystal Rodgers,In Progress,Amanda Dorsey
Client J,PROJ-015,2026-04-28,QBR,4.7,Promoter,Think compare try young however many view while unit theory across nothing blue work expect writer myself management voice surface life cover.,Negative,"['Delivery', 'Communication']",True,Christopher Stevens,In Progress,Cody Doyle
Client G,PROJ-032,2026-01-29,QBR,3.2,Detractor,Nothing serious compare task today still middle beautiful protect continue cell food easy end dog send west few reveal.,Neutral,"['Delivery', 'Pricing']",True,Matthew Schwartz,In Progress,Bryan Parker
Client I,PROJ-034,2026-04-18,CSAT,4.8,Promoter,Rather type thousand show real police wait happen determine whatever long lawyer writer health reduce tree serious soon stay seven quite other.,Negative,"['Support', 'Quality']",True,Kelly Rice,Open,Thomas Rodriguez
Client C,PROJ-001,2026-03-09,NPS,3.8,Passive,Total dark Mr clearly take kind quite response major together knowledge argue car indeed nor next pull final against effort able design authority interest red must.,Negative,"['Communication', 'Pricing']",True,Steven Andersen,Closed,Dustin White
Client B,PROJ-026,2026-06-02,CSAT,4.3,Passive,She within position inside year him thank trade heart radio product much president girl condition.,Positive,"['Communication', 'Support']",True,Kendra Luna,In Progress,Aaron Johnson
Client E,PROJ-022,2026-02-28,QBR,5.0,Promoter,Leg rest interest here discover leave choice country themselves she allow produce past view threat drive attack order land.,Negative,"['Pricing', 'Delivery']",True,Shelby Sanchez,In Progress,Jeffrey Fernandez
Client E,PROJ-011,2026-03-26,QBR,4.8,Promoter,Cell year doctor trouble office officer significant stand down then worry miss including.,Negative,"['Quality', 'Delivery']",True,Justin Vargas,Closed,Casey Shelton
Client C,PROJ-031,2026-01-21,NPS,5.0,Promoter,Many win walk provide skill five indicate chance heavy senior list support feeling remain south trip none whose newspaper care drug data position two suggest begin.,Negative,"['Pricing', 'Quality']",True,Cheryl Adams,In Progress,Lindsey Russo
Client D,PROJ-016,2026-06-05,QBR,2.8,Detractor,Source onto provide describe decade trade field training deep couple scientist section senior trial receive region.,Positive,"['Pricing', 'Support']",True,David Morris,Closed,John Wong
Client I,PROJ-033,2026-02-02,QBR,4.9,Promoter,End mention market better wonder light style trial have including none determine certainly end various often individual charge form.,Negative,"['Communication', 'Pricing']",True,Roy Porter,In Progress,Melinda Scott
Client H,PROJ-006,2026-04-22,NPS,3.9,Passive,Whom politics make collection some college result major true my politics arrive almost suggest war property share include successful discuss religious across media health.,Positive,"['Support', 'Communication']",True,Mary Jensen,Closed,Mr. Aaron Arnold
Client E,PROJ-002,2026-03-24,NPS,4.0,Passive,Admit reveal movie expert maybe recently issue vote conference truth modern drive.,Positive,"['Communication', 'Delivery']",True,Dawn Gomez,Open,Angela Chung
Client B,PROJ-031,2025-12-21,NPS,4.7,Promoter,North wrong difficult range summer president teach service behavior here need argue act commercial matter its six not teach believe month amount deep.,Neutral,"['Communication', 'Pricing']",True,Stacy Alvarez,Closed,Benjamin Frost
Client G,PROJ-029,2026-03-19,NPS,2.0,Detractor,Nor allow up fire which onto sell require huge baby class drive strong home to forward sense cause write right may window approach join stuff.,Positive,"['Pricing', 'Communication']",True,Randy Friedman,Closed,Raymond Johnson
Client C,PROJ-015,2025-12-13,CSAT,4.9,Promoter,Situation late direction need heart control one herself sign far east available environmental here six child hope guess.,Neutral,"['Support', 'Pricing']",True,Tommy Wallace,Closed,Ashley Miller
Client D,PROJ-008,2025-12-21,QBR,4.7,Promoter,Large never impact ago government behavior our foot history factor hold be top toward within occur college herself catch feeling manage as itself.,Neutral,"['Pricing', 'Delivery']",True,John Jones,Open,David Weber
Client A,PROJ-016,2025-12-24,NPS,3.6,Passive,Pattern leader career according how success here television key issue statement prepare organization feel owner receive look concern huge five same plan whose site for exactly skill.,Neutral,"['Communication', 'Pricing']",True,Timothy Gonzalez,Open,Catherine Saunders MD
Client J,PROJ-021,2026-05-09,QBR,1.6,Detractor,Wall decide something story attorney summer some pull cause field education child institution help last our old move type thank industry already why.,Negative,"['Quality', 'Communication']",True,Robin Wheeler,In Progress,Ashley Wright
Client E,PROJ-004,2026-05-04,QBR,4.9,Promoter,Coach partner none population position whom former someone black better develop section newspaper reach determine hear leg quickly real character young.,Negative,"['Communication', 'Support']",True,Mr. Thomas Miller,Closed,Monica Bailey
Client I,PROJ-021,2026-06-09,NPS,4.4,Passive,Lay deal lot live just recent five feel special boy support possible quality clearly worker during company civil nice when.,Neutral,"['Communication', 'Quality']",True,Jared Lopez,In Progress,Jessica Johnson
Client C,PROJ-030,2025-12-27,QBR,4.6,Promoter,Third last involve above Democrat everything region somebody officer son Mr hand culture box provide majority whole finish home hotel box goal leader common purpose song try.,Neutral,"['Support', 'Communication']",True,Megan Edwards,In Progress,Bruce Brooks
Client F,PROJ-006,2026-04-29,QBR,2.6,Detractor,Memory industry case himself control player really population yourself never majority cell fire late approach.,Positive,"['Delivery', 'Quality']",True,Adam Taylor,In Progress,Tracey Wagner
Client J,PROJ-014,2026-04-14,CSAT,4.8,Promoter,Important man report kitchen cold not somebody determine allow different eye sit not significant manager member of environmental myself yard my series service kid.,Neutral,"['Quality', 'Delivery']",True,Jeffery Fitzgerald,Open,Danielle Golden
Client H,PROJ-016,2026-06-09,QBR,1.3,Detractor,Last give stage keep yes simply down specific onto go represent plan.,Negative,"['Communication', 'Support']",True,Charles Clark,Open,Anthony Bell
Client F,PROJ-020,2026-02-17,NPS,4.2,Passive,Others collection without fall of weight method too spring career seek in arrive everyone pretty reduce car chair focus.,Negative,"['Support', 'Pricing']",True,Ryan Long,Open,Mark Burton
Client D,PROJ-024,2026-03-03,NPS,4.9,Promoter,Later plant they behavior middle everything view hard wear force able similar run room learn professional group as move design involve.,Positive,"['Pricing', 'Communication']",True,Derrick Clayton,Closed,Kenneth Knight
Client G,PROJ-019,2026-01-21,CSAT,3.7,Passive,Small thus several animal phone student administration upon citizen lead yeah into yet travel think few themselves theory behavior growth bar professor power appear.,Neutral,"['Communication', 'Support']",True,Molly Fischer,Closed,Brandon Davis
Client E,PROJ-032,2026-05-26,QBR,3.9,Passive,Live car difficult quite act receive stage write institution car audience him room bill finish thing case.,Neutral,"['Support', 'Communication']",True,Nicole Anderson,Closed,Brenda Moreno MD
Client I,PROJ-004,2026-04-26,CSAT,4.9,Promoter,Key reveal physical character in rather team beautiful beyond sell operation himself white fire cause everybody.,Positive,"['Delivery', 'Pricing']",True,Juan Greene,In Progress,Peggy Vaughn
Client D,PROJ-033,2026-04-08,NPS,4.6,Promoter,Day parent country hot position six soldier dream history drop point audience thousand activity guess first hit stuff inside.,Positive,"['Pricing', 'Support']",True,Carrie Ruiz,Closed,Mrs. Laurie Smith
Client I,PROJ-018,2026-04-29,NPS,4.7,Promoter,Always art smile media pick may indeed reduce bar Mr pattern everyone finally memory data space movie.,Positive,"['Pricing', 'Support']",True,Mark Davenport,Open,Andrea Hale
Client I,PROJ-017,2026-03-13,NPS,4.6,Promoter,Around beat its law participant finally score scientist budget remain reduce clearly well mission situation result cold camera.,Neutral,"['Delivery', 'Quality']",True,Debra Tanner,In Progress,Alyssa Roman
Client B,PROJ-003,2026-01-05,NPS,4.7,Promoter,Model enjoy window physical many member area teacher cold church significant thus purpose boy scientist able teach activity.,Neutral,"['Support', 'Pricing']",True,Jack Mora,Open,Tyler Johnson
Client F,PROJ-007,2026-04-27,CSAT,1.2,Detractor,Different eat trouble floor step number budget pull apply development middle animal husband theory tend similar financial beat lead hard factor six.,Positive,"['Communication', 'Support']",True,Dana Richardson,In Progress,Yolanda Parsons
Client J,PROJ-003,2026-01-27,NPS,3.2,Detractor,Set early according improve do get style theory week ability price support road billion morning draw man art young Republican behavior TV today mind red.,Positive,"['Communication', 'Pricing']",True,William Miller,Closed,Casey Wilkins
Client J,PROJ-025,2026-06-04,QBR,4.3,Passive,Option artist production candidate factor surface unit hotel story for laugh do want.,Neutral,"['Support', 'Communication']",True,Randy Rodriguez,Closed,Jerry Edwards
Client G,PROJ-015,2026-01-01,NPS,4.9,Promoter,Movie who debate final enter build citizen rather step recent American structure foreign before eat.,Negative,"['Pricing', 'Support']",True,Jose Byrd,In Progress,William Johnson
Client F,PROJ-025,2026-04-02,CSAT,4.5,Promoter,Take new nearly behind big soldier building article sit develop cup hundred rather visit base only true avoid young cup position speak.,Negative,"['Pricing', 'Support']",True,Ryan Lamb,Open,Tom Williams
Client E,PROJ-010,2026-03-20,QBR,4.9,Promoter,Item right many him interview government traditional every land chance pass pay positive material third look because him information poor something eat yes myself affect him.,Negative,"['Communication', 'Support']",True,Karen Harrington,In Progress,Keith Morris
Client E,PROJ-007,2026-01-15,CSAT,4.7,Promoter,Conference five despite time sing around yard morning short yourself wind beyond prevent entire staff true argue you.,Positive,"['Support', 'Pricing']",True,Ryan Salinas,Closed,Ryan Bruce
Client B,PROJ-021,2026-03-21,CSAT,4.8,Promoter,Door fish scene grow option region goal nothing center way student special wife my compare also.,Neutral,"['Support', 'Pricing']",True,Kyle Smith,Open,Gary Mendez
Client I,PROJ-011,2026-06-06,NPS,4.9,Promoter,Future concern sort than arrive challenge relate center book money half authority relate product only.,Positive,"['Communication', 'Quality']",True,Frank Daugherty,In Progress,Jessica Fowler
Client E,PROJ-031,2026-01-01,NPS,4.6,Promoter,Power company why really up skin development open compare fill read camera rock we we hot yes whole allow own TV whose determine not.,Neutral,"['Communication', 'Support']",True,Brenda Mcgee,Closed,William Jackson
Client G,PROJ-022,2026-05-20,NPS,4.8,Promoter,Start prove role from activity decide really go skin result answer just information coach.,Neutral,"['Support', 'Quality']",True,Stephen Bell,In Progress,Ronald Kramer
Client F,PROJ-013,2026-04-14,NPS,4.9,Promoter,Prepare reach class available suffer far five weight avoid color heart rule natural together behavior order party lot all wall close threat church big day couple.,Positive,"['Support', 'Quality']",True,Miranda Blair,In Progress,Douglas Young
Client F,PROJ-025,2026-02-22,NPS,4.1,Passive,Hotel near make approach about because station person lose best deal point with.,Neutral,"['Delivery', 'Communication']",True,Brian Glover,Closed,Steven Baker
Client H,PROJ-014,2026-04-04,NPS,5.0,Promoter,Hold he high cost and keep enjoy student nor character recent benefit property space including series dinner article hit mission whole reach view of dog.,Negative,"['Delivery', 'Support']",True,James Nash,Closed,Kenneth Black
Client G,PROJ-025,2025-12-31,NPS,4.1,Passive,Quality per build serious common worker will speak call interest write itself young physical street election treat trial attack hold however for everybody leader them skill.,Negative,"['Support', 'Pricing']",True,Kelly Barnes,Closed,Charles Matthews
Client F,PROJ-035,2026-05-14,QBR,4.3,Passive,Understand none big experience movie gas improve him magazine participant also every century participant.,Positive,"['Delivery', 'Communication']",True,Amanda Preston,Closed,David Reese
Client G,PROJ-022,2026-04-02,CSAT,3.6,Passive,Today after stage field exactly man receive better than care wind kitchen stay especially indicate population could deep.,Positive,"['Delivery', 'Quality']",True,Natalie Malone,Open,Samantha Robertson
Client H,PROJ-024,2026-03-23,NPS,4.0,Passive,Assume remember idea sister modern notice community themselves customer arm almost anything growth current happy less.,Negative,"['Pricing', 'Communication']",True,Thomas Maldonado,In Progress,John Griffin
Client B,PROJ-008,2026-01-18,NPS,1.7,Detractor,Only glass clear thus see read expect hit clear occur who tax positive question especially important after sister should across treatment positive over across.,Neutral,"['Quality', 'Support']",True,Robert Torres,Open,Maria Coleman
Client H,PROJ-021,2025-12-30,NPS,3.8,Passive,Surface learn design few minute perhaps once account yourself whom style no order executive range loss from everybody foot everybody prevent.,Positive,"['Delivery', 'Pricing']",True,Marisa Lopez,In Progress,Cynthia Brown
Client D,PROJ-034,2026-01-26,QBR,1.4,Detractor,Identify floor cause agent market fast trade identify say on yes staff gas require rather point little wait grow feel color price next family likely scientist rise.,Positive,"['Quality', 'Support']",True,Susan Arroyo,In Progress,Martha Walker
Client G,PROJ-026,2025-12-20,QBR,3.9,Passive,Season film small former end family surface like term on want author threat matter test high fear.,Negative,"['Communication', 'Support']",True,Scott Taylor,Closed,Jason Hudson
Client B,PROJ-007,2026-04-29,CSAT,4.7,Promoter,Century television Congress ball forward would finish around later decide similar office citizen size sister can its investment investment local above move room.,Neutral,"['Quality', 'Communication']",True,Stephanie Sherman,In Progress,Alicia Smith
Client F,PROJ-025,2026-05-18,NPS,2.2,Detractor,Difficult theory fine bill me fill assume animal way lay minute model its rather card you majority seek.,Negative,"['Delivery', 'Quality']",True,Terry Burnett,In Progress,Danny Mercer
Client E,PROJ-006,2026-06-03,CSAT,4.1,Passive,Safe operation college hand practice also theory eight movement any yes product president after ready indicate herself.,Neutral,"['Delivery', 'Communication']",True,Kara Hernandez,In Progress,Lorraine Turner
Client J,PROJ-009,2026-05-09,NPS,4.6,Promoter,Production establish paper case store bit responsibility brother box blood cup current enjoy mission.,Neutral,"['Communication', 'Support']",True,Michael Phillips,Closed,Jon Clark
Client C,PROJ-032,2026-02-24,CSAT,4.8,Promoter,Former able public trade structure protect chance bed memory rich big eight discuss write fast less between company always fact soon fine school believe.,Positive,"['Quality', 'Support']",True,Amber Christian,Closed,Carolyn Howard
Client G,PROJ-033,2026-05-29,NPS,4.5,Promoter,Western environmental run head garden box hundred lead structure ready long instead though coach car risk word such billion treat lot notice just.,Neutral,"['Support', 'Pricing']",True,Peggy Carr,Closed,Sheryl Acosta
Client D,PROJ-019,2025-12-21,NPS,4.9,Promoter,Low maintain thought key as pressure actually than modern season rich difference what their mind.,Positive,"['Pricing', 'Quality']",True,Lisa Reynolds,Open,Karen Alvarado
Client I,PROJ-008,2026-05-08,CSAT,4.9,Promoter,Chance step throughout party activity various measure light many close seem fly former everything medical nearly her stage bad know of.,Neutral,"['Pricing', 'Quality']",True,Jonathan Stewart,Closed,Dr. Alicia Powell
Client G,PROJ-007,2026-05-29,CSAT,3.5,Passive,News a before page people fight meet deal public wear guy approach.,Neutral,"['Delivery', 'Support']",True,Jesse Castro,In Progress,Kara Sandoval
Client D,PROJ-014,2026-05-12,QBR,2.1,Detractor,Box service develop game stop who factor miss reduce animal clearly cell response return blood particularly could us hotel lead sit response blue.,Neutral,"['Pricing', 'Support']",True,Timothy Monroe,Open,Patricia Hayes
Client J,PROJ-023,2026-04-28,NPS,3.0,Detractor,What care material morning any very stuff lot meet TV concern official room campaign hold over third mean his woman trouble several event white wife laugh card.,Negative,"['Pricing', 'Communication']",True,Michael Goodman,In Progress,Michael Valencia
Client I,PROJ-007,2026-01-16,NPS,2.4,Detractor,Plan cut person fact generation public wonder practice when mean reason follow break good lose number project individual security subject experience suggest space mission agent certainly.,Positive,"['Quality', 'Communication']",True,Christina Christensen,Closed,Dustin King
Client G,PROJ-032,2026-01-18,QBR,2.7,Detractor,Real far send allow sport bill test science ten score night down six.,Negative,"['Quality', 'Support']",True,Donna Beck,In Progress,Jasmine Frye
Client I,PROJ-018,2026-06-08,NPS,4.7,Promoter,Whole approach season data than team kitchen difficult plant remember happy open school cultural right cover large work avoid while.,Neutral,"['Support', 'Quality']",True,Barbara Williams,Closed,Dennis Martin
Client H,PROJ-023,2025-12-29,QBR,4.2,Passive,Accept letter visit always up others similar personal successful feeling so nearly authority remain moment whatever minute skill.,Neutral,"['Communication', 'Support']",True,Joshua Powell,Open,Stephen Alvarado
Client C,PROJ-032,2026-03-10,QBR,3.8,Passive,Guess despite sell most you statement wonder across protect knowledge toward party perform where radio fly trouble war history music.,Positive,"['Delivery', 'Pricing']",True,Thomas Short,Closed,Robert Griffin
Client H,PROJ-030,2025-12-13,NPS,1.3,Detractor,Fast prepare fly bank benefit will significant mouth phone decision picture defense rate.,Positive,"['Communication', 'Quality']",True,Christine Poole,Open,Natalie Graham
Client B,PROJ-024,2026-06-01,QBR,4.9,Promoter,Section child learn forward beautiful approach some newspaper offer direction else hold picture.,Positive,"['Delivery', 'Support']",True,Alan Nunez,Closed,Margaret Montgomery
Client B,PROJ-001,2026-02-05,NPS,4.1,Passive,Animal summer group me face rate paper example unit high state air choose detail section someone support far plant fear thought whole term possible whatever action.,Positive,"['Communication', 'Pricing']",True,Brenda Williams,Closed,Jennifer Kelley
Client G,PROJ-009,2026-04-14,CSAT,2.7,Detractor,Fight security tough gas include position mention claim determine strong create consider son system.,Positive,"['Support', 'Delivery']",True,Tara Gamble,Closed,Joshua Roberts
Client G,PROJ-009,2026-05-26,QBR,4.9,Promoter,Economy culture oil week ground provide doctor expect attorney cover magazine foreign process.,Positive,"['Delivery', 'Pricing']",True,Brittany Knight,Closed,Tina Jackson
Client C,PROJ-027,2026-05-19,QBR,3.9,Passive,East develop science job style care run there leg grow figure necessary compare parent success teach cause Mrs enjoy though.,Neutral,"['Communication', 'Delivery']",True,Bernard Smith,Open,Amanda Perkins
Client G,PROJ-021,2026-01-17,CSAT,4.6,Promoter,Shoulder defense already end thus music president chance hotel through operation tax card may bed hair action draw who word range serious.,Neutral,"['Delivery', 'Communication']",True,Christopher Knight,Closed,Shelby Thomas
Client A,PROJ-020,2026-02-03,QBR,1.7,Detractor,Voice American seven discussion enough doctor protect military social hold truth thing always possible billion why plant event score official now heavy her onto.,Negative,"['Pricing', 'Communication']",True,Angela King,Closed,Courtney Sullivan
Client D,PROJ-032,2026-03-21,CSAT,4.1,Passive,Main lot page maybe catch close baby poor deep cost gun response brother discover specific result loss long decision claim.,Positive,"['Support', 'Delivery']",True,Alison Williams,Closed,Candace Soto
Client G,PROJ-027,2026-03-16,QBR,4.9,Promoter,Three chair coach two might if wide point these road start water describe.,Negative,"['Communication', 'Support']",True,Kaitlin Olson,Open,Jason Thomas
