client_name,project_id,survey_date,survey_type,score,nps_category,feedback_text,sentiment,key_themes,follow_up_required,follow_up_owner,follow_up_status,account_manager
Client A,PROJ-026,2026-04-21,NPS,4.5,Promoter,Star consider process enough right garden law opportunity discover history board dark teacher mean information change benefit live pass although six me brother lot candidate owner.,Negative,"['Pricing', 'Support']",True,Stephanie Hampton,In Progress,Kelly Wood
Client E,PROJ-006,2026-03-02,CSAT,3.6,Passive,Recently investment voice lot shoulder go source traditional student office international effort she.,Negative,"['Communication', 'Pricing']",True,Angela George,Closed,Deanna Smith
Client B,PROJ-020,2026-06-09,NPS,4.0,Passive,Official brother according pressure reach firm gun choice prepare effect talk interest.,Negative,"['Communication', 'Delivery']",True,Donald Becker,Open,Jennifer Bowers
Client E,PROJ-012,2026-01-12,CSAT,3.9,Passive,Condition next low write officer similar huge catch tell budget discover situation we beyond meet skill song pass range appear home player source statement.,Negative,"['Communication', 'Delivery']",True,Kyle Davis,Open,Jacob Lynch
Client E,PROJ-011,2026-03-18,CSAT,2.2,Detractor,Us husband prevent expert white arm similar compare manager action sure us million crime six member recognize past purpose growth pretty.,Negative,"['Quality', 'Delivery']",True,Angie Hill,Open,Michael Sullivan
Client J,PROJ-005,2026-04-19,NPS,4.7,Promoter,Military say attention bed expect stop trip give white everybody paper create upon offer end imagine blood.,Negative,"['Quality', 'Delivery']",True,Edward Arroyo,In Progress,Tina Walter
Client J,PROJ-008,2026-02-09,QBR,3.7,Passive,Economic kind help low during fund simply race to television loss election him small detail red son include good movie red enjoy expert human see garden.,Negative,"['Delivery', 'Pricing']",True,Cassandra Edwards,Open,Kenneth White
Client A,PROJ-027,2026-02-08,NPS,4.6,Promoter,Material current save their deal dark economic peace choose blood turn put professional pass share must.,Positive,"['Support', 'Quality']",True,John Oliver,In Progress,William Prince PhD
Client A,PROJ-012,2026-02-08,QBR,4.0,Passive,Consumer share memory huge seek campaign moment institution vote allow girl team simply lead build million firm across purpose here beyond gun technology cost.,Positive,"['Support', 'Delivery']",True,Derrick Mullen,In Progress,Clinton Coleman
Client H,PROJ-001,2026-03-17,CSAT,4.9,Promoter,Red head take evidence conference capital office direction between establish dog it herself certainly where change south computer matter yet support military.,Neutral,"['Pricing', 'Quality']",True,Rachel Evans,Closed,Laura Ross
Client D,PROJ-035,2026-02-13,CSAT,4.8,Promoter,Art sport live picture last free guess night use election after building test white current office.,Positive,"['Support', 'Delivery']",True,Carrie Deleon,Open,Michael Freeman
Client F,PROJ-001,2026-05-30,NPS,4.8,Promoter,Threat high expert place certain cold space front piece occur support author class direction first fact environment popular even know television guy only.,Negative,"['Quality', 'Delivery']",True,Jennifer White,Open,Nicholas Stanley
Client C,PROJ-018,2026-01-05,CSAT,4.8,Promoter,Decision however believe view list approach side model you billion peace base use hope.,Positive,"['Pricing', 'Support']",True,Oscar Ramos,Closed,Joseph Jackson
Client I,PROJ-009,2026-05-25,NPS,3.9,Passive,Professional team foot live window music evening know wide recently computer our.,Positive,"['Pricing', 'Delivery']",True,Madison Elliott,In Progress,Margaret Collins
Client G,PROJ-021,2026-03-04,NPS,1.7,Detractor,Loss dinner become film include choose action model serve carry expert movement reach man sense federal she something others someone.,Neutral,"['Communication', 'Delivery']",True,Chelsea Khan,Open,David Espinoza
Client H,PROJ-030,2026-03-03,NPS,4.6,Promoter,Stock determine bad personal might son party really even possible mother especially could attention carry book lay laugh red man fly.,Positive,"['Pricing', 'Quality']",True,Wayne Johnson,Open,Diane Martinez
Client E,PROJ-003,2026-02-06,NPS,4.7,Promoter,Road do character management game find son your less social form such weight argue simply author like court success stage stock business should.,Positive,"['Delivery', 'Communication']",True,Ray Ramos,In Progress,Amanda Murray
Client C,PROJ-002,2026-03-26,NPS,1.7,Detractor,Miss word list race fine follow pick among visit minute education police cup thought.,Negative,"['Pricing', 'Communication']",True,Claudia Rodriguez,Open,Erika Jackson
Client D,PROJ-009,2026-02-01,NPS,4.7,Promoter,Once how during why ok real read choice side eat matter rather full wide service art green child movie.,Neutral,"['Delivery', 'Quality']",True,John Stewart,Open,Maria Reed
Client C,PROJ-006,2026-03-07,CSAT,4.5,Promoter,Run again help right economy always religious next my majority note myself food life test out team civil most last standard must law.,Positive,"['Support', 'Delivery']",True,Katie Gross,Open,Lisa Diaz
Client G,PROJ-028,2026-01-26,NPS,5.0,Promoter,Draw return probably much hold model marriage necessary party follow political book model at strong candidate them dark magazine better number student price moment red eight hand.,Positive,"['Communication', 'Quality']",True,Andrea Conrad,In Progress,John Preston
Client E,PROJ-032,2026-03-28,QBR,3.6,Passive,Life police guess sea three state some around pay more same strong back democratic.,Neutral,"['Delivery', 'Pricing']",True,Ashley Hall,In Progress,Corey Sandoval
Client D,PROJ-035,2025-12-17,NPS,3.9,Passive,Personal condition see indeed black police group learn professor third coach Congress husband front citizen your kitchen good firm yard foot he share issue rise part.,Negative,"['Quality', 'Support']",True,Cindy Cannon,Closed,Dawn Nixon
Client E,PROJ-012,2025-12-19,NPS,4.9,Promoter,Where a alone expect administration career three according worker Democrat fire sign wall state try memory number occur behind leave choose enter threat.,Negative,"['Communication', 'Delivery']",True,David Evans,In Progress,Laura Robinson
Client D,PROJ-011,2026-01-07,CSAT,4.4,Passive,Rich society common stay ready office traditional organization feel room office bad argue.,Negative,"['Communication', 'Quality']",True,Hannah Montoya,Closed,Sean Kane
Client D,PROJ-025,2026-03-13,CSAT,1.1,Detractor,Section support up plant place approach modern floor north force recently check purpose young wife send offer.,Positive,"['Communication', 'Quality']",True,Jeffrey Hartman,Closed,George Alvarez
Client J,PROJ-010,2026-05-06,CSAT,4.3,Passive,Nature energy huge its recently seven lose cup house number night young modern.,Neutral,"['Pricing', 'Quality']",True,Derek Jordan,Open,Laura Rodriguez
Client I,PROJ-031,2025-12-13,NPS,4.7,Promoter,Interest give fly order agency fight write pattern wrong kind certainly and stand current health serious table both approach we unit than.,Negative,"['Communication', 'Pricing']",True,Alexis Benson,In Progress,Jerry Johnson
Client A,PROJ-010,2026-05-12,QBR,4.9,Promoter,Science deep national seek nature performance yeah reason property heavy town money eight art customer recent even.,Positive,"['Delivery', 'Quality']",True,Tony Jones,Open,Mary Durham
Client E,PROJ-021,2026-01-16,CSAT,4.7,Promoter,Ten affect test power discuss herself with between firm term mother cost may leader unit again easy morning four hotel church.,Negative,"['Support', 'Pricing']",True,Harold Garrett,Closed,William Mason
Client J,PROJ-023,2026-02-08,QBR,2.3,Detractor,Personal these three spring ahead never exactly charge today prevent because him whether.,Negative,"['Communication', 'Support']",True,Lori Perez,In Progress,Christian Waller
Client J,PROJ-026,2026-05-07,CSAT,4.9,Promoter,Forget my deal catch must son television finally relate model career yet wish certain usually true fish newspaper we brother fish they risk she they increase in.,Positive,"['Pricing', 'Quality']",True,Timothy Shannon,Closed,Denise Maxwell
Client B,PROJ-016,2026-03-11,NPS,4.6,Promoter,Capital ago worry pay paper partner others discuss ago bag sister care suffer light.,Positive,"['Delivery', 'Quality']",True,Catherine Hughes,In Progress,Christopher Perez
Client B,PROJ-001,2025-12-25,NPS,4.5,Promoter,Share address establish including score write serious at until worry term majority foot leader east if among save herself fine particularly score.,Neutral,"['Support', 'Communication']",True,Kelly Liu,In Progress,Kelly Hayes
Client H,PROJ-015,2026-01-23,NPS,4.7,Promoter,There early Mrs worker always hold share while couple keep this similar experience.,Positive,"['Delivery', 'Quality']",True,Edward Ellison,Open,Stephanie Ford
Client G,PROJ-011,2026-01-01,QBR,4.7,Promoter,Bed may conference one thus national hotel food agent law to time think bed food possible represent clearly run before relationship plant be.,Positive,"['Quality', 'Support']",True,Monica Hester,Closed,Caitlin Pierce
Client C,PROJ-004,2026-01-07,NPS,1.4,Detractor,Should treatment not process change than condition Republican information finally shoulder land phone.,Positive,"['Communication', 'Support']",True,Carlos Harris,Closed,Dawn Ellis
Client E,PROJ-016,2026-01-06,CSAT,4.3,Passive,Myself accept third down open little improve bag outside each natural people newspaper stay any challenge president already take project study fear turn any.,Neutral,"['Pricing', 'Support']",True,Christopher Powers,Open,Melissa Larson
Client J,PROJ-031,2026-02-02,CSAT,1.2,Detractor,Concern lay often use behavior federal happy her attack interview nearly fall care reason ever money modern receive partner body role pick would low read value.,Positive,"['Communication', 'Pricing']",True,Mrs. Lisa Stewart,Closed,Whitney Gomez
Client G,PROJ-031,2026-04-17,QBR,4.6,Promoter,Pass market role marriage space this discussion fact cover brother let someone scene debate past.,Neutral,"['Delivery', 'Support']",True,Angel Bailey,Open,Christy Davidson
Client H,PROJ-030,2026-02-18,CSAT,4.7,Promoter,Effort attack feel nearly short box four how notice whether story create street two look listen along career choice.,Neutral,"['Pricing', 'Delivery']",True,Sean Huang,Open,Robert Reilly
Client I,PROJ-027,2026-05-12,CSAT,4.9,Promoter,Strong federal right firm movie decade rate son thousand government wide exactly all.,Negative,"['Delivery', 'Support']",True,Miss Sarah Duncan,Closed,Kurt Hancock
Client D,PROJ-031,2026-02-27,CSAT,4.7,Promoter,Relate fire all including market down later week democratic few born size sing tree kitchen agent lot matter couple.,Neutral,"['Delivery', 'Communication']",True,Morgan Mills,Open,Briana Wiggins
Client D,PROJ-013,2026-01-14,CSAT,5.0,Promoter,Quality car right least require mission about usually reach organization beautiful level animal minute probably fine officer fine throughout fly court everybody five kid brother.,Neutral,"['Delivery', 'Support']",True,Donald Smith,Open,Kayla Clark
Client B,PROJ-006,2026-03-22,QBR,5.0,Promoter,Near even wall sound off commercial find throughout music anything ahead tough anyone himself beat hot relate through picture real.,Neutral,"['Pricing', 'Quality']",True,Henry Cook,In Progress,Peter Lamb
Client J,PROJ-034,2026-03-30,CSAT,4.3,Passive,Wind sense letter capital spend turn life lay range report let discuss difference technology.,Neutral,"['Communication', 'Pricing']",True,Susan Myers,Closed,Mary Mccormick
Client J,PROJ-007,2026-02-24,QBR,3.3,Detractor,Law air little goal leave color should page camera bill stage someone for power society mouth husband including per nature.,Neutral,"['Support', 'Quality']",True,Janet Peterson,In Progress,Leslie Mueller
Client G,PROJ-010,2026-05-20,QBR,4.8,Promoter,Note garden reason community prove school Republican student boy other foot best knowledge final image our rate others star force population article design.,Negative,"['Support', 'Delivery']",True,Kevin Fischer,In Progress,Nicole Guerrero
Client E,PROJ-024,2025-12-18,NPS,3.8,Passive,Most hope official crime race first now tree fight wall itself work general become account worry identify camera family hard nature apply reflect.,Neutral,"['Quality', 'Pricing']",True,Heather Callahan,In Progress,Cynthia Park
Client E,PROJ-029,2026-03-05,NPS,4.9,Promoter,Personal Republican image itself deep community cause new successful growth individual eye their by activity possible century those price window career case.,Negative,"['Support', 'Delivery']",True,Shannon English,Open,Tara Hanson
Client I,PROJ-024,2025-12-27,QBR,4.7,Promoter,Meeting need last green control painting official suggest door maybe improve national happen within nothing relate both loss real center rule worker worker.,Positive,"['Delivery', 'Quality']",True,Julie Miller,Closed,Ann Kennedy
Client A,PROJ-012,2026-01-31,CSAT,3.0,Detractor,Range much often party tough movement action law town off former good within.,Positive,"['Communication', 'Delivery']",True,Christopher Neal,In Progress,Elizabeth Glover
Client H,PROJ-033,2026-03-24,QBR,4.5,Promoter,Article list college appear wrong speak person expert bar measure surface everyone car exactly tax add born company.,Positive,"['Delivery', 'Communication']",True,Brittany Griffin,In Progress,Debbie Haynes
Client I,PROJ-023,2026-03-11,CSAT,4.7,Promoter,Congress month almost worker whose other start study sell include himself produce rise cold official success approach enough standard apply less live live way.,Neutral,"['Delivery', 'Quality']",True,Cynthia Vega,Open,Dennis Moreno
Client D,PROJ-015,2026-06-04,CSAT,2.4,Detractor,Activity until large question which raise American truth PM what it truth teach friend environment better pressure hospital significant see same open crime.,Neutral,"['Support', 'Delivery']",True,Michael White,Closed,Megan Decker
Client A,PROJ-015,2026-02-15,QBR,4.3,Passive,In moment rate goal rise edge alone people arm order thus describe.,Neutral,"['Quality', 'Support']",True,Barbara Rosario,In Progress,Larry Bennett
Client I,PROJ-026,2026-05-11,CSAT,4.9,Promoter,Sort continue book contain far produce away law yet show realize property show either sit everyone artist home you election spend concern attorney woman customer hotel.,Positive,"['Pricing', 'Quality']",True,Ashley Fernandez,Closed,Louis Rodriguez
Client B,PROJ-022,2026-02-21,QBR,4.8,Promoter,Resource billion authority number economy knowledge to chance policy usually professor entire record toward off middle vote make job such sit size music.,Neutral,"['Quality', 'Pricing']",True,Troy Meyers,Closed,Mr. Timothy Howard
Client D,PROJ-004,2026-05-15,NPS,4.9,Promoter,Hundred place where before movement which ball least short possible computer always his course receive to piece grow be.,Negative,"['Quality', 'Communication']",True,Nancy Taylor,Closed,Nathan Watkins
Client G,PROJ-025,2025-12-22,QBR,1.7,Detractor,Home society poor matter who speech whom administration fund front return if deep president mission vote thank Mr scientist do author save major affect.,Negative,"['Pricing', 'Communication']",True,Lisa Sanchez,In Progress,Alexis Chen
Client F,PROJ-033,2026-02-27,CSAT,3.7,Passive,Star best particularly structure ask stage box organization past as dark front structure scene I building range national focus.,Negative,"['Pricing', 'Communication']",True,Cindy Williams,In Progress,Arthur Hill
Client C,PROJ-022,2026-05-29,CSAT,1.6,Detractor,Collection have close during old card social place heavy citizen they ball account unit religious order exist really society live camera central.,Positive,"['Quality', 'Communication']",True,Jerry Allen,Closed,Michael Carlson
Client J,PROJ-019,2026-04-10,CSAT,4.9,Promoter,Partner because step feeling industry newspaper court worry with peace television would medical less phone decade apply both chance such treatment marriage civil two.,Neutral,"['Delivery', 'Pricing']",True,Jackson Clark,In Progress,Luis Wu
Client E,PROJ-027,2025-12-26,CSAT,4.9,Promoter,Analysis science understand compare size machine break time return or for cup quality for single for better scene thank heart determine likely machine.,Positive,"['Communication', 'Quality']",True,Brianna Reilly,In Progress,James Taylor
Client C,PROJ-006,2026-04-16,NPS,5.0,Promoter,Place wish dark camera realize arrive carry surface learn commercial gas though page smile point particularly.,Negative,"['Communication', 'Quality']",True,Wayne Wyatt,Closed,Scott Burns
Client J,PROJ-011,2026-04-17,CSAT,3.9,Passive,Option student evidence role save east force often through option chance off above woman always likely shoulder.,Positive,"['Pricing', 'Support']",True,Joseph Mendoza,Closed,Samantha Chavez
Client I,PROJ-013,2026-03-18,CSAT,4.7,Promoter,Bar send really image design grow dream your administration protect class learn now on with less catch reflect.,Neutral,"['Pricing', 'Communication']",True,Seth Sims,Open,April Burton
Client F,PROJ-020,2026-01-15,CSAT,4.1,Passive,Throw four allow international especially watch my some skin ball thing save area war push thousand book half people half compare.,Neutral,"['Pricing', 'Quality']",True,Andrea Fletcher,Open,William Allen
Client I,PROJ-034,2026-03-09,NPS,4.5,Promoter,Power say sell that reflect send set fly today me institution approach health laugh.,Negative,"['Communication', 'Quality']",True,Sandra Harrison,In Progress,Samantha Lam
Client G,PROJ-002,2026-02-09,CSAT,3.3,Detractor,Per son war speak wait assume throughout leader bag today eye what body every recent many themselves minute physical fall wide must car.,Negative,"['Communication', 'Pricing']",True,Jeremy Newman,Closed,Arthur Wiggins
Client A,PROJ-025,2026-05-25,NPS,4.0,Passive,Strong mind from official pretty skin main program morning nature leader note together fill smile dinner head.,Negative,"['Pricing', 'Delivery']",True,Ryan Hernandez,Closed,Tyler Montgomery
Client B,PROJ-027,2026-04-05,NPS,5.0,Promoter,Republican expect win stuff realize project child draw American first call employee continue none alone first.,Positive,"['Pricing', 'Quality']",True,Jake Fernandez,In Progress,Eric Knapp
Client G,PROJ-007,2026-05-31,QBR,4.9,Promoter,Use shoulder way until choose wife national medical positive far time wide senior yes project son rock two full both look always.,Neutral,"['Pricing', 'Communication']",True,Audrey Johnson,In Progress,Connie Howard
Client B,PROJ-007,2026-04-19,CSAT,4.9,Promoter,Area political on develop very everyone against Mrs knowledge public beautiful memory create fish painting want training guess challenge take.,Negative,"['Communication', 'Quality']",True,Jake Mitchell,Closed,William Sawyer
Client I,PROJ-032,2026-02-04,QBR,5.0,Promoter,Democratic thousand score indeed kind clearly road today rock increase structure our century field.,Neutral,"['Quality', 'Communication']",True,Kelly Rogers DVM,Open,Jaime Smith
Client H,PROJ-010,2026-01-05,QBR,3.6,Passive,Increase new report sense carry control high network amount step strong fight nice less agree able enjoy what.,Positive,"['Delivery', 'Quality']",True,Kaitlyn Valdez,Closed,Jennifer Vasquez
Client B,PROJ-012,2025-12-23,NPS,4.6,Promoter,Agreement share manage wife out gun lose job election rather window stand health run adult employee ok certainly.,Neutral,"['Quality', 'Support']",True,Michael Howard,Closed,Isaac Fields
Client C,PROJ-011,2026-03-07,NPS,4.6,Promoter,Any factor police baby create physical share out cold follow first suddenly son even recently guy move goal century carry example.,Neutral,"['Pricing', 'Quality']",True,Jennifer Mccall,Closed,Daniel Gordon
Client H,PROJ-018,2026-03-21,QBR,4.5,Promoter,Somebody next ready weight suffer Republican reduce sort individual trouble bring capital admit give reality catch.,Neutral,"['Support', 'Communication']",True,William Mills,Open,Carrie Torres
Client B,PROJ-027,2026-05-13,NPS,3.4,Detractor,Develop task central dinner by candidate bad real six back simple serious amount blue soldier.,Negative,"['Support', 'Communication']",True,Amy Wilson,Closed,Austin Contreras
Client C,PROJ-031,2026-04-16,CSAT,3.8,Passive,Site turn day top continue goal before suffer walk we girl civil may rock.,Neutral,"['Support', 'Delivery']",True,Kelly Garcia,Open,Alexis Robinson
Client J,PROJ-015,2026-06-02,NPS,3.8,Passive,Who commercial senior above rise under turn surface listen recently continue pull blue strong wonder interest.,Negative,"['Pricing', 'Delivery']",True,Jennifer Juarez,In Progress,John Stone
Client G,PROJ-010,2026-05-04,QBR,3.7,Passive,Several relate news American foreign break exist outside find wish know network fact talk country attorney subject little quickly conference your man black just.,Positive,"['Delivery', 'Communication']",True,Angela Thomas,Closed,Kevin Garcia
Client H,PROJ-021,2026-02-12,NPS,4.9,Promoter,Ask window full organization wrong but study rise everything require old event smile popular hundred live.,Neutral,"['Delivery', 'Communication']",True,Jennifer Washington,Closed,Randy Rodriguez
Client J,PROJ-029,2026-01-04,NPS,4.8,Promoter,Majority discuss wall ahead scene store marriage ago condition painting force few perhaps set produce mind man letter.,Neutral,"['Quality', 'Delivery']",True,Jonathan Wagner,In Progress,Rhonda Fernandez
Client I,PROJ-001,2026-01-05,QBR,4.9,Promoter,Weight all involve trip himself fire heavy least allow news team field.,Negative,"['Quality', 'Communication']",True,Katherine Taylor,Closed,Katherine Rodriguez
Client D,PROJ-030,2026-03-07,QBR,4.8,Promoter,Process rate occur live take media hot manager wife pay good within fly agreement and student give score agree through game best generation group.,Negative,"['Pricing', 'Support']",True,Matthew Wright,Closed,Leslie Lozano
Client D,PROJ-001,2026-03-10,NPS,4.1,Passive,Than boy college Mrs also price institution method inside after like against first.,Negative,"['Quality', 'Pricing']",True,Erica Davis,Closed,Michael Harris MD
Client G,PROJ-007,2026-02-16,QBR,2.2,Detractor,Coach federal wide cut player wind away sure degree enter father of source person when response official option event note.,Positive,"['Communication', 'Delivery']",True,Jessica Reed,In Progress,Rodney Wagner
Client G,PROJ-003,2026-05-24,QBR,4.6,Promoter,Item music customer I person law shake Congress affect reflect television officer defense while score level view mouth pass.,Negative,"['Delivery', 'Support']",True,Jessica Knight,In Progress,Kelly Diaz
Client I,PROJ-004,2026-05-03,NPS,4.8,Promoter,Drive second she such improve team treat plant suffer environment expert civil rather door draw.,Negative,"['Support', 'Communication']",True,Alexis Robles,Closed,John Esparza
Client J,PROJ-021,2026-04-21,NPS,4.8,Promoter,Positive already city carry election sound probably compare system white magazine after teacher base own test too imagine guy price bed wall.,Neutral,"['Pricing', 'Communication']",True,Brenda Rodriguez,In Progress,Tasha Boyd
Client C,PROJ-027,2026-05-16,QBR,1.7,Detractor,Wear use edge this draw business southern forget once hope security door institution certain compare wide keep effect operation make hear we first interest radio white.,Negative,"['Pricing', 'Quality']",True,Taylor Cox,Closed,Samantha Smith
Client D,PROJ-013,2026-02-04,QBR,3.8,Passive,Alone science sometimes area true public education his police red total rate movement door kind account whether until truth feeling view series father teacher civil keep first.,Negative,"['Quality', 'Pricing']",True,Maria Mccormick,Closed,Bobby Chan
Client I,PROJ-021,2026-01-11,NPS,4.6,Promoter,Likely include subject response theory star station recognize media goal own spend scene law agree appear political picture social carry husband pick finish bank.,Negative,"['Support', 'Pricing']",True,Jose Booker,Closed,Pamela Bradford
Client A,PROJ-034,2026-01-09,CSAT,1.7,Detractor,Society floor long same end reach step son cup increase consider then war this difference way type positive phone trade wind cup.,Neutral,"['Communication', 'Delivery']",True,Caroline Morales,Closed,David Davis
Client E,PROJ-010,2025-12-28,QBR,2.9,Detractor,Color note add moment significant up still management difference data watch spend entire second high issue deal democratic station risk country.,Neutral,"['Communication', 'Delivery']",True,Ricky Johnson,In Progress,Cynthia Hayes
Client D,PROJ-025,2026-02-11,QBR,3.6,Passive,Hard range leader action card follow realize rather require remain save eight believe arrive four dog traditional you.,Negative,"['Quality', 'Delivery']",True,Tracy George,In Progress,Amber King
Client I,PROJ-004,2025-12-16,QBR,4.7,Promoter,Herself within provide car throughout American conference college manage fund life bed report item employee finish without material wind exactly guess involve total enjoy stop unit might.,Neutral,"['Communication', 'Support']",True,Christopher Doyle,Open,Travis Peters DVM
Client I,PROJ-013,2026-01-31,NPS,4.1,Passive,Apply chance discover along employee relationship job yet until American ground remember magazine manage suffer term buy behavior test Congress collection meet evening.,Neutral,"['Communication', 'Delivery']",True,Laurie Silva,Open,Kelly Duncan
Client E,PROJ-017,2026-01-15,CSAT,5.0,Promoter,Turn east marriage behind forget expect wonder business health upon black food ahead least remain look pick especially price forget analysis performance.,Negative,"['Quality', 'Delivery']",True,Travis Cooke,In Progress,Rebecca Anderson
Client J,PROJ-004,2026-05-22,QBR,1.1,Detractor,Soon executive sometimes season natural own begin effort drive side human after decade.,Negative,"['Quality', 'Support']",True,James Holland,Closed,Brittany Evans
