project_id,project_name,client_name,delivery_unit,project_manager,start_date,expected_end_date,current_phase,rag_status,completion_pct,planned_hours,actual_hours,budget_total,budget_consumed_pct,open_issues,overdue_tasks,risk_flag,last_updated
PROJ-001,Client B Whiteboard One-To-One Web-Readiness Platform,Client I,DU-North,Danielle Taylor,2026-01-02,2026-08-22,Go-Live,GREEN,30.1,760,444,296493,81.2,6,0,,2026-06-11
PROJ-002,Client I Transform E-Business Applications Platform,Client G,DU-North,Allen Robinson,2025-11-24,2026-12-21,Go-Live,GREEN,68.5,2778,253,1691334,48.6,5,0,,2026-06-11
PROJ-003,Client F Deliver Proactive Schemas Platform,Client B,DU-North,Matthew Gardner,2026-01-04,2026-07-30,Go-Live,GREEN,29.4,1292,3140,1877324,85.9,11,5,,2026-06-11
PROJ-004,Client G Enhance Customized Applications Platform,Client B,DU-East,Sean Blake,2026-04-07,2026-11-05,UAT,GREEN,21.2,3462,4929,503258,78.3,2,0,,2026-06-11
PROJ-005,Client B Leverage Cutting-Edge Supply-Chains Platform,Client G,DU-South,Daniel Gallagher,2026-01-10,2026-07-11,Go-Live,GREEN,87.0,3488,1532,876325,33.7,11,3,,2026-06-11
PROJ-006,Client I Transform E-Business Architectures Platform,Client D,DU-North,Ryan Munoz,2025-09-20,2026-11-23,Go-Live,GREEN,67.1,3608,2411,1442176,46.8,17,4,,2026-06-11
PROJ-007,Client F Exploit Revolutionary Bandwidth Platform,Client G,DU-South,Valerie Gray,2025-09-12,2026-08-18,Discovery,GREEN,84.0,2228,4846,1937876,47.6,10,5,,2026-06-11
PROJ-008,Client E Engage Distributed Functionalities Platform,Client C,DU-North,Shannon Ray,2026-03-05,2026-12-02,UAT,GREEN,51.3,4009,4980,937603,47.0,11,7,,2026-06-11
PROJ-009,Client A Unleash Innovative Paradigms Platform,Client B,DU-North,Patricia Galloway,2026-05-02,2026-10-25,Development,GREEN,18.2,3958,5085,233227,47.5,12,2,,2026-06-11
PROJ-010,Client A Iterate Bleeding-Edge Platforms Platform,Client B,DU-East,Jesse Flowers,2026-05-12,2026-08-24,UAT,GREEN,97.4,3286,1113,715514,60.5,13,7,,2026-06-11
PROJ-011,Client I Leverage Out-Of-The-Box Convergence Platform,Client B,DU-East,Derek Zuniga,2025-12-27,2026-10-27,UAT,GREEN,78.6,4658,5188,517146,42.7,4,0,,2026-06-11
PROJ-012,Client A Visualize Intuitive Metrics Platform,Client B,DU-South,Kimberly Sanchez,2025-08-15,2026-11-21,UAT,GREEN,39.2,2461,674,605144,59.9,18,2,,2026-06-11
PROJ-013,Client I Target Enterprise Niches Platform,Client C,DU-North,Margaret Hawkins DDS,2026-04-20,2026-07-08,Go-Live,GREEN,98.0,1852,2371,1206612,105.8,19,1,,2026-06-11
PROJ-014,Client F E-Enable Leading-Edge E-Services Platform,Client H,DU-East,Renee Morales,2025-11-25,2026-12-20,Go-Live,GREEN,38.1,1491,2230,571224,63.9,2,3,,2026-06-11
PROJ-015,Client B Optimize Killer Networks Platform,Client A,DU-North,Emily Rios,2025-12-10,2026-11-18,Discovery,GREEN,29.8,757,2906,248598,57.0,16,8,,2026-06-11
PROJ-016,Client J Strategize Ubiquitous Eyeballs Platform,Client J,DU-South,David Hoffman,2025-12-02,2026-11-06,Development,GREEN,21.9,4374,3534,499318,49.0,3,7,,2026-06-11
PROJ-017,Client A Morph Cutting-Edge Applications Platform,Client B,DU-North,Daniel Bright,2026-02-12,2026-10-07,Go-Live,GREEN,47.0,3279,1095,621470,37.8,6,6,,2026-06-11
PROJ-018,Client H Deliver Rich Infrastructures Platform,Client D,DU-North,Shannon Hernandez,2025-10-25,2026-10-07,Go-Live,GREEN,26.5,1302,614,1467646,45.2,17,7,,2026-06-11
PROJ-019,Client H Leverage Cutting-Edge Metrics Platform,Client D,DU-South,James Ferrell,2025-12-14,2026-08-02,Discovery,GREEN,46.6,1848,3304,104520,96.9,12,1,,2026-06-11
PROJ-020,Client I Mesh Dot-Com Schemas Platform,Client H,DU-North,Alexandra Le,2026-01-08,2026-10-07,Development,GREEN,72.7,2930,1983,222648,51.2,18,7,,2026-06-11
PROJ-021,Client H Innovate Real-Time Experiences Platform,Client I,DU-East,Edward Moore,2026-01-22,2026-07-05,Development,GREEN,14.5,965,4360,268005,88.9,5,0,,2026-06-11
PROJ-022,Client J Implement Back-End Mindshare Platform,Client D,DU-East,Katie Rodriguez,2025-12-13,2026-10-02,Discovery,GREEN,20.8,1171,3634,1478611,35.5,18,1,,2026-06-11
PROJ-023,Client F Whiteboard Seamless Functionalities Platform,Client D,DU-South,Christina Brooks,2025-12-26,2026-08-12,Go-Live,GREEN,70.3,1572,5487,729139,75.2,14,5,,2026-06-11
PROJ-024,Client J Leverage Clicks-And-Mortar Metrics Platform,Client B,DU-North,Alec Hickman,2025-08-19,2026-10-16,Development,GREEN,65.9,4644,2372,377781,55.3,11,1,,2026-06-11
PROJ-025,Client I Matrix Extensible Action-Items Platform,Client E,DU-East,Shawn Arroyo,2026-02-20,2026-09-01,Discovery,GREEN,24.2,2952,1048,1941565,100.5,4,3,,2026-06-11
PROJ-026,Client D Evolve Holistic Partnerships Platform,Client F,DU-North,Kim Martinez,2025-11-02,2026-08-29,UAT,GREEN,35.4,4640,4202,626639,51.2,1,1,,2026-06-11
PROJ-027,Client C Repurpose Collaborative Schemas Platform,Client E,DU-North,Joseph Obrien,2026-01-03,2026-07-02,Go-Live,GREEN,10.3,4003,4794,120278,37.4,3,6,,2026-06-11
PROJ-028,Client C Architect 24/365 Content Platform,Client G,DU-North,Michael Brooks,2025-09-02,2026-09-23,Discovery,GREEN,62.4,3025,3187,1985300,36.0,1,2,,2026-06-11
PROJ-029,Client I Productize Customized Initiatives Platform,Client G,DU-East,Austin Smith,2025-12-20,2026-12-08,Development,GREEN,19.3,2439,1531,1777484,101.9,5,3,,2026-06-11
PROJ-030,Client G Engage Bleeding-Edge Applications Platform,Client D,DU-South,Benjamin Welch,2025-11-14,2026-12-26,Development,GREEN,93.2,1385,3333,1929066,100.5,1,0,,2026-06-11
PROJ-031,Client D Enhance Innovative Paradigms Platform,Client D,DU-North,Andrea Young,2025-11-25,2026-10-16,Development,GREEN,41.5,3764,2889,684272,98.7,2,3,,2026-06-11
PROJ-032,Client I Repurpose Holistic E-Tailers Platform,Client F,DU-North,Miranda Khan,2026-02-10,2026-12-02,Discovery,GREEN,55.8,2639,1662,1317584,107.4,8,4,,2026-06-11
PROJ-033,Client G Maximize Collaborative Action-Items Platform,Client J,DU-East,Rhonda Lee,2026-02-07,2026-12-24,Discovery,GREEN,80.8,3655,4923,498624,33.1,8,6,,2026-06-11
PROJ-034,Client I Transform User-Centric Convergence Platform,Client D,DU-South,John Daniel,2025-08-15,2026-11-01,Go-Live,GREEN,93.3,1073,2904,1406851,33.6,10,6,,2026-06-11
PROJ-035,Client G Innovate Mission-Critical Markets Platform,Client F,DU-South,Gerald Hensley,2026-01-15,2026-10-28,UAT,GREEN,37.8,1542,1771,981739,83.1,12,1,,2026-06-11
